neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,availability_365,cancellation_policy,price
20,0,1,2,2.0,1.0,1.0,4,0,2,79.0
20,0,0,2,1.0,0.0,1.0,4,281,1,75.0
20,7,1,1,1.0,1.0,1.0,4,0,0,30.0
20,0,1,2,1.0,1.0,1.0,4,188,1,105.0
20,7,1,1,1.0,1.0,1.0,4,338,1,85.0
20,7,1,2,1.0,1.0,1.0,4,113,1,110.0
20,0,0,2,1.0,1.0,1.0,4,89,3,199.0
20,0,1,2,1.0,1.0,2.0,4,0,0,45.0
20,0,0,4,1.0,2.0,2.0,4,364,3,269.0
20,0,1,2,2.0,1.0,1.0,4,0,0,69.0
20,0,1,2,1.0,1.0,1.0,4,0,0,75.0
20,7,1,2,1.5,1.0,1.0,4,0,1,45.0
20,7,1,1,1.0,1.0,1.0,4,110,1,70.0
20,7,1,3,1.0,1.0,2.0,4,120,0,70.0
20,0,0,3,1.0,1.0,1.0,4,179,2,169.0
20,0,1,5,2.0,1.0,3.0,4,101,2,99.0
20,0,1,1,1.0,1.0,1.0,4,0,1,90.0
20,3,1,2,1.0,1.0,1.0,4,30,2,80.0
20,0,0,6,2.0,3.0,3.0,4,323,2,275.0
20,0,1,2,1.0,1.0,1.0,4,31,0,71.0
20,0,1,2,1.0,1.0,1.0,4,330,2,125.0
20,0,0,2,1.0,0.0,1.0,4,0,0,140.0
20,0,2,2,1.0,1.0,2.0,4,344,1,52.0
20,0,1,2,1.0,1.0,1.0,4,297,1,70.0
20,0,0,3,1.0,1.0,1.0,4,44,1,208.0
20,0,0,7,1.0,2.0,3.0,4,332,2,399.0
20,0,0,1,2.0,1.0,1.0,4,0,0,59.0
20,0,0,3,1.0,1.0,1.0,4,179,2,169.0
20,0,0,3,1.0,1.0,1.0,4,208,2,169.0
20,0,1,1,1.0,1.0,1.0,2,158,2,75.0
20,3,1,2,1.0,1.0,1.0,4,298,2,100.0
20,0,0,3,2.0,1.0,1.0,4,308,2,115.0
20,0,0,2,1.0,1.0,1.0,4,242,1,65.0
20,0,0,12,2.0,4.0,7.0,4,29,2,349.0
20,0,1,3,1.0,1.0,3.0,0,299,1,75.0
20,0,0,5,1.0,5.0,4.0,4,0,0,100.0
20,0,0,4,1.0,2.0,2.0,4,320,1,199.0
20,0,1,2,1.0,1.0,1.0,4,0,0,75.0
20,0,0,4,1.0,2.0,2.0,4,0,2,160.0
20,0,0,3,1.0,1.0,1.0,4,117,2,349.0
20,0,1,2,1.0,1.0,1.0,4,245,0,65.0
20,0,1,1,1.0,1.0,1.0,4,0,0,41.0
20,0,1,2,1.0,1.0,1.0,4,324,1,49.0
20,10,1,2,1.0,1.0,1.0,4,317,1,72.0
20,0,1,2,1.0,1.0,1.0,4,0,2,90.0
20,0,1,2,1.0,1.0,1.0,4,0,2,100.0
20,3,1,2,1.0,1.0,1.0,4,290,2,90.0
20,0,0,2,1.0,2.0,3.0,4,358,2,89.0
20,0,1,1,2.0,1.0,1.0,4,0,2,65.0
20,0,0,2,1.0,1.0,1.0,4,339,2,170.0
20,0,0,3,1.0,1.0,1.0,4,179,2,169.0
20,0,0,5,1.0,2.0,4.0,4,0,0,150.0
20,7,1,1,1.0,1.0,1.0,4,50,1,50.0
20,0,1,1,1.0,1.0,1.0,4,0,0,56.0
20,8,0,3,1.0,1.0,2.0,4,60,2,140.0
20,0,1,2,1.0,1.0,1.0,4,305,2,88.0
20,7,1,1,1.0,1.0,1.0,4,48,1,50.0
20,7,1,2,1.0,1.0,1.0,4,237,1,74.0
20,0,1,2,1.0,1.0,1.0,4,0,0,42.0
20,0,0,5,2.0,2.0,2.0,4,179,2,199.0
20,0,2,1,1.0,1.0,3.0,4,0,2,40.0
20,0,0,3,1.0,1.0,1.0,4,117,2,169.0
20,0,0,5,2.0,2.0,2.0,4,179,2,319.0
20,3,1,2,1.0,1.0,1.0,4,30,2,80.0
20,0,1,3,1.5,1.0,1.0,4,0,1,103.0
20,8,0,4,2.0,2.0,3.0,4,0,1,160.0
20,0,1,1,1.0,1.0,1.0,4,0,0,42.0
20,0,0,3,1.0,1.0,1.0,4,179,2,169.0
20,7,1,2,1.0,1.0,1.0,4,217,0,89.0
20,0,0,3,1.0,1.0,1.0,4,206,2,199.0
20,0,0,4,1.0,2.0,2.0,4,0,0,150.0
20,8,0,4,1.0,2.0,1.0,4,0,1,200.0
20,7,1,1,1.0,1.0,1.0,4,154,1,85.0
20,7,1,2,1.0,1.0,1.0,4,30,0,70.0
20,0,1,2,1.0,1.0,1.0,4,48,0,100.0
20,0,0,4,1.0,1.0,2.0,4,0,2,109.0
20,0,1,2,1.5,1.0,1.0,4,0,1,80.0
20,0,2,1,1.0,1.0,1.0,4,0,2,28.0
20,0,0,2,1.0,0.0,2.0,2,29,1,55.0
20,0,1,2,1.0,1.0,1.0,4,176,2,110.0
20,0,1,1,1.0,1.0,1.0,4,5,0,40.0
20,0,2,2,1.0,1.0,1.0,4,365,2,80.0
